source_file,match_id,status,confidence,result,clip_start_seconds,clip_end_seconds,duration_seconds,source_bytes,ignore_reason,notes
match_001.mp4,feb03_2550_match_001,analysed,high,win,0,219,235.016667,158984039,,
match_002.mp4,feb03_2550_match_002,analysed,high,win,12,227,242.216667,150472525,,
match_003.mp4,feb03_2550_match_003,analysed,high,win,12,114,129.883333,69672372,,
match_004.mp4,feb03_2550_match_004,analysed,high,win,11,181,196.283333,132962417,,Next-game preparation overlaps match_005.mp4; no duplicate game record.
match_005.mp4,feb03_2550_match_005,analysed,high,win,11,124,139.533333,81054407,,
match_006.mp4,feb03_2550_match_006,analysed,high,win,11,204,219.216667,137233032,,
match_007.mp4,feb03_2550_match_007,analysed,high,win,11,131,145.75,92362852,,
match_008.mp4,feb03_2550_match_008,analysed,high,win,11,98,113.65,66740000,,
match_009.mp4,feb03_2550_match_009,analysed,high,win,12,123,138.75,80178423,,
match_010.mp4,feb03_2550_match_010,analysed,high,win,12,90,106.183333,62477911,,
match_011.mp4,feb03_2550_match_011,analysed,high,win,11,135,151.016667,84696746,,
match_012.mp4,feb03_2550_match_012,analysed,high,win,11,213,230.05,151168016,,
match_013.mp4,feb03_2550_match_013,analysed,high,win,12,173,189.55,120953628,,
match_014.mp4,feb03_2550_match_014,uncertain,medium,unknown,11,218.05,247.416667,162806556,,Truncated during active combat with all four alive; result unknown; next source is a different game.
match_015.mp4,feb03_2550_match_015,analysed,high,win,16,124,139.783333,84891243,,
match_016.mp4,feb03_2550_match_016,analysed,high,win,11,171,188.85,107796295,,
match_017.mp4,feb03_2550_match_017,uncertain,medium,loss,11,243,258.55,168990235,,"Loss inferred from friendly Rogue death, two enemies alive and arena exit; no defeat banner; post-arena lag report does not prove cause."
match_018.mp4,feb03_2550_match_018,analysed,high,win,11,107,125.05,77860065,,
match_019.mp4,feb03_2550_match_019,analysed,high,win,11,102,117.816667,73063881,,
match_020.mp4,feb03_2550_match_020,analysed,high,win,11,173,189.25,114347820,,
match_021.mp4,feb03_2550_match_021,analysed,high,win,11,119,135.183333,83937943,,
match_022.mp4,feb03_2550_match_022,analysed,high,win,11,69,85.15,53896123,,
match_023.mp4,feb03_2550_match_023,analysed,high,win,11,88,104.35,54651228,,
match_024.mp4,,ignored_non_2v2,,,,,175.216667,105357135,3v3: three friendly players and three enemy arena frames; no embedded 2v2 game found,Full-duration classification scan; 3v3 game and surrounding loading/city footage are manifest only.
match_025.mp4,,ignored_non_2v2,,,,,183.283333,113592430,3v3: three friendly players and three enemy arena frames; no embedded 2v2 game found,Full-duration classification scan; 3v3 game and surrounding loading/city footage are manifest only.
match_026.mp4,,ignored_non_2v2,,,,,149.45,83015665,3v3: three friendly players and three enemy arena frames; no embedded 2v2 game found,Full-duration classification scan; 3v3 game and surrounding loading/city footage are manifest only.
match_027.mp4,,ignored_non_2v2,,,,,167.216667,98741232,3v3: three friendly players and three enemy arena frames; no embedded 2v2 game found,Full-duration classification scan; 3v3 game and surrounding loading/city footage are manifest only.
match_028.mp4,,ignored_non_2v2,,,,,196.283333,118087670,3v3: three friendly players and three enemy arena frames; no embedded 2v2 game found,Full-duration classification scan; 3v3 game and surrounding loading/city footage are manifest only.
